time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,formulation,spiroxamine,prothioconazole,tebuconazole,trifloxystrobin,bixafen,fluopyram,Psurv
72,5,r_f5_8,6,μg/L,M-027754-02-2,tebuconazole,8000,0,0,7800,0,0,0,0.6
96,5,r_f5_8,6,μg/L,M-027754-02-2,tebuconazole,8000,0,0,7800,0,0,0,0.6
0,5,r_f5_1,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
24,5,r_f5_1,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
48,5,r_f5_1,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
72,5,r_f5_1,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
96,5,r_f5_1,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
0,5,r_f5_6,10,μg/L,M-027754-02-2,tebuconazole,3600,0,0,3500,0,0,0,1
24,5,r_f5_6,10,μg/L,M-027754-02-2,tebuconazole,3600,0,0,3500,0,0,0,1
48,5,r_f5_6,10,μg/L,M-027754-02-2,tebuconazole,3600,0,0,3500,0,0,0,1
72,5,r_f5_6,10,μg/L,M-027754-02-2,tebuconazole,3600,0,0,3500,0,0,0,1
96,5,r_f5_6,9,μg/L,M-027754-02-2,tebuconazole,3600,0,0,3500,0,0,0,0.9
0,5,r_f5_7,10,μg/L,M-027754-02-2,tebuconazole,5350,0,0,5200,0,0,0,1
24,5,r_f5_7,10,μg/L,M-027754-02-2,tebuconazole,5350,0,0,5200,0,0,0,1
48,5,r_f5_7,10,μg/L,M-027754-02-2,tebuconazole,5350,0,0,5200,0,0,0,1
72,5,r_f5_7,9,μg/L,M-027754-02-2,tebuconazole,5350,0,0,5200,0,0,0,0.9
96,5,r_f5_7,6,μg/L,M-027754-02-2,tebuconazole,5350,0,0,5200,0,0,0,0.6
0,5,r_f5_4,10,μg/L,M-027754-02-2,tebuconazole,1540,0,0,1500,0,0,0,1
24,5,r_f5_4,10,μg/L,M-027754-02-2,tebuconazole,1540,0,0,1500,0,0,0,1
48,5,r_f5_4,10,μg/L,M-027754-02-2,tebuconazole,1540,0,0,1500,0,0,0,1
72,5,r_f5_4,10,μg/L,M-027754-02-2,tebuconazole,1540,0,0,1500,0,0,0,1
96,5,r_f5_4,10,μg/L,M-027754-02-2,tebuconazole,1540,0,0,1500,0,0,0,1
0,5,r_f5_10,10,μg/L,M-027754-02-2,tebuconazole,12100,0,0,11800,0,0,0,1
24,5,r_f5_10,1,μg/L,M-027754-02-2,tebuconazole,12100,0,0,11800,0,0,0,0.1
48,5,r_f5_10,1,μg/L,M-027754-02-2,tebuconazole,12100,0,0,11800,0,0,0,0.1
72,5,r_f5_10,0,μg/L,M-027754-02-2,tebuconazole,12100,0,0,11800,0,0,0,0
96,5,r_f5_10,0,μg/L,M-027754-02-2,tebuconazole,12100,0,0,11800,0,0,0,0
0,5,r_f5_5,10,μg/L,M-027754-02-2,tebuconazole,2360,0,0,2300,0,0,0,1
24,5,r_f5_5,10,μg/L,M-027754-02-2,tebuconazole,2360,0,0,2300,0,0,0,1
48,5,r_f5_5,10,μg/L,M-027754-02-2,tebuconazole,2360,0,0,2300,0,0,0,1
72,5,r_f5_5,9,μg/L,M-027754-02-2,tebuconazole,2360,0,0,2300,0,0,0,0.9
96,5,r_f5_5,9,μg/L,M-027754-02-2,tebuconazole,2360,0,0,2300,0,0,0,0.9
0,5,r_f5_9,10,μg/L,M-027754-02-2,tebuconazole,10300,0,0,10000,0,0,0,1
24,5,r_f5_9,9,μg/L,M-027754-02-2,tebuconazole,10300,0,0,10000,0,0,0,0.9
48,5,r_f5_9,7,μg/L,M-027754-02-2,tebuconazole,10300,0,0,10000,0,0,0,0.7
72,5,r_f5_9,6,μg/L,M-027754-02-2,tebuconazole,10300,0,0,10000,0,0,0,0.6
96,5,r_f5_9,2,μg/L,M-027754-02-2,tebuconazole,10300,0,0,10000,0,0,0,0.2
0,5,r_f5_3,10,μg/L,M-027754-02-2,tebuconazole,1030,0,0,1000,0,0,0,1
24,5,r_f5_3,10,μg/L,M-027754-02-2,tebuconazole,1030,0,0,1000,0,0,0,1
48,5,r_f5_3,10,μg/L,M-027754-02-2,tebuconazole,1030,0,0,1000,0,0,0,1
72,5,r_f5_3,10,μg/L,M-027754-02-2,tebuconazole,1030,0,0,1000,0,0,0,1
96,5,r_f5_3,10,μg/L,M-027754-02-2,tebuconazole,1030,0,0,1000,0,0,0,1
0,5,r_f5_2,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
24,5,r_f5_2,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
48,5,r_f5_2,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
72,5,r_f5_2,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
96,5,r_f5_2,10,μg/L,M-027754-02-2,tebuconazole,0,0,0,0,0,0,0,1
0,6,r_f6_7,10,μg/L,M-032048-01-1,trifloxystrobin,7.5,0,0,0,7.2,0,0,1
3,6,r_f6_7,10,μg/L,M-032048-01-1,trifloxystrobin,7.5,0,0,0,7.2,0,0,1
24,6,r_f6_7,10,μg/L,M-032048-01-1,trifloxystrobin,7.5,0,0,0,7.2,0,0,1
48,6,r_f6_7,10,μg/L,M-032048-01-1,trifloxystrobin,7.5,0,0,0,7.2,0,0,1
72,6,r_f6_7,10,μg/L,M-032048-01-1,trifloxystrobin,7.5,0,0,0,7.2,0,0,1
96,6,r_f6_7,10,μg/L,M-032048-01-1,trifloxystrobin,7.5,0,0,0,7.2,0,0,1
0,6,r_f6_14,10,μg/L,M-032048-01-1,trifloxystrobin,42.5,0,0,0,41,0,0,1
3,6,r_f6_14,1,μg/L,M-032048-01-1,trifloxystrobin,42.5,0,0,0,41,0,0,0.1
24,6,r_f6_14,0,μg/L,M-032048-01-1,trifloxystrobin,42.5,0,0,0,41,0,0,0
48,6,r_f6_14,0,μg/L,M-032048-01-1,trifloxystrobin,42.5,0,0,0,41,0,0,0
72,6,r_f6_14,0,μg/L,M-032048-01-1,trifloxystrobin,42.5,0,0,0,41,0,0,0
96,6,r_f6_14,0,μg/L,M-032048-01-1,trifloxystrobin,42.5,0,0,0,41,0,0,0
0,6,r_f6_10,10,μg/L,M-032048-01-1,trifloxystrobin,12.4,0,0,0,12,0,0,1
3,6,r_f6_10,10,μg/L,M-032048-01-1,trifloxystrobin,12.4,0,0,0,12,0,0,1
24,6,r_f6_10,8,μg/L,M-032048-01-1,trifloxystrobin,12.4,0,0,0,12,0,0,0.8
48,6,r_f6_10,7,μg/L,M-032048-01-1,trifloxystrobin,12.4,0,0,0,12,0,0,0.7
72,6,r_f6_10,7,μg/L,M-032048-01-1,trifloxystrobin,12.4,0,0,0,12,0,0,0.7
96,6,r_f6_10,7,μg/L,M-032048-01-1,trifloxystrobin,12.4,0,0,0,12,0,0,0.7
0,6,r_f6_1,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
3,6,r_f6_1,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
24,6,r_f6_1,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
48,6,r_f6_1,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
72,6,r_f6_1,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
96,6,r_f6_1,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
0,6,r_f6_11,10,μg/L,M-032048-01-1,trifloxystrobin,21.7,0,0,0,21,0,0,1
3,6,r_f6_11,10,μg/L,M-032048-01-1,trifloxystrobin,21.7,0,0,0,21,0,0,1
24,6,r_f6_11,2,μg/L,M-032048-01-1,trifloxystrobin,21.7,0,0,0,21,0,0,0.2
48,6,r_f6_11,1,μg/L,M-032048-01-1,trifloxystrobin,21.7,0,0,0,21,0,0,0.1
72,6,r_f6_11,1,μg/L,M-032048-01-1,trifloxystrobin,21.7,0,0,0,21,0,0,0.1
96,6,r_f6_11,0,μg/L,M-032048-01-1,trifloxystrobin,21.7,0,0,0,21,0,0,0
0,6,r_f6_3,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
3,6,r_f6_3,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
24,6,r_f6_3,10,μg/L,M-032048-01-1,trifloxystrobin,0,0,0,0,0,0,0,1
